Aspect Change,Average Effect Score (ATE),CI Lower Bound,CI Upper Bound,Average Effect Score (Trained_models/cv/CW_cv_model_lr1e-05_epochs5_bs8),Average Effect Score (Trained_models/cv/CB_cv_model_lr3e-05_epochs7_bs8),Average Effect Score (Trained_models/cv/OV_cv_model_lr3e-05_epochs15_bs8)
Age_group (0.0 -> 1.0),0.125,0.0,0.375,0.125,-0.125,0.125
Age_group (0.0 -> 2.0),0.16666666666666666,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
Age_group (1.0 -> 0.0),-0.2,-0.4,0.0,-0.13333333333333333,-0.3333333333333333,-0.26666666666666666
Age_group (1.0 -> 2.0),0.16666666666666666,0.0,0.4166666666666667,0.0,0.16666666666666666,0.16666666666666666
Age_group (2.0 -> 0.0),-0.4,-0.8,0.0,-0.2,-0.6,-0.4
Age_group (2.0 -> 1.0),-0.1,-0.3,0.0,0.0,-0.1,-0.1
Certificates (0.0 -> 1.0),0.48484848484848486,0.3333333333333333,0.6666666666666666,0.7272727272727273,0.5757575757575758,0.5151515151515151
Certificates (1.0 -> 0.0),-0.23076923076923078,-0.46153846153846156,0.0,-0.38461538461538464,-0.23076923076923078,-0.23076923076923078
Education (0.0 -> 1.0),0.0,0.0,0.0,0.6666666666666666,0.0,0.0
Education (0.0 -> 2.0),0.6666666666666666,0.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666
Education (0.0 -> 3.0),1.0,1.0,1.0,0.0,1.5,1.0
Education (1.0 -> 0.0),-0.4444444444444444,-0.7777777777777778,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,-0.4444444444444444
Education (1.0 -> 2.0),0.45454545454545453,0.18181818181818182,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.45454545454545453
Education (1.0 -> 3.0),0.9,0.7,1.0,0.7,1.6,1.0
Education (2.0 -> 0.0),-0.8,-1.0,-0.4,-0.4,-1.0,-0.8
Education (2.0 -> 1.0),-0.75,-1.0,-0.25,-0.5,-0.75,-0.75
Education (2.0 -> 3.0),0.3,0.0,0.6,0.1,0.4,0.3
Education (3.0 -> 0.0),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Education (3.0 -> 2.0),-0.5,-1.0,0.0,0.0,0.0,-0.5
Gender (0.0 -> 1.0),0.0,0.0,0.0,-0.043478260869565216,0.08695652173913043,0.0
Gender (1.0 -> 0.0),0.0,0.0,0.0,0.0,-0.06666666666666667,-0.03333333333333333
Race (0.0 -> 1.0),0.0,0.0,0.0,0.0,0.25,0.0
Race (0.0 -> 2.0),0.0,0.0,0.0,0.125,0.125,0.0
Race (0.0 -> 3.0),0.5,0.0,1.0,1.0,0.5,0.5
Race (1.0 -> 0.0),-0.2,-0.6,0.0,-0.4,-0.4,-0.4
Race (1.0 -> 2.0),0.25,0.0,0.75,0.25,0.25,0.25
Race (1.0 -> 3.0),0.375,0.0,0.75,0.125,0.125,0.375
Race (2.0 -> 0.0),-0.4,-0.8,0.0,0.0,-0.4,-0.4
Race (2.0 -> 1.0),0.0,0.0,0.0,-0.3333333333333333,0.0,0.0
Race (2.0 -> 3.0),0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333
Race (3.0 -> 0.0),-0.25,-0.75,0.0,0.0,-0.75,-0.25
Race (3.0 -> 1.0),-0.8333333333333334,-1.0,-0.5,-0.3333333333333333,-0.8333333333333334,-0.8333333333333334
Race (3.0 -> 2.0),-0.3333333333333333,-1.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333
Socioeconomic_Status (0.0 -> 1.0),0.0,0.0,0.0,0.0,0.0,0.0
Socioeconomic_Status (0.0 -> 2.0),0.4,0.0,0.8,0.6,0.4,0.4
Socioeconomic_Status (1.0 -> 0.0),-0.25,-0.45,-0.1,-0.3,-0.25,-0.25
Socioeconomic_Status (1.0 -> 2.0),0.2727272727272727,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.2727272727272727
Socioeconomic_Status (2.0 -> 0.0),-0.5555555555555556,-0.8888888888888888,-0.2222222222222222,-0.3333333333333333,-0.7777777777777778,-0.5555555555555556
Socioeconomic_Status (2.0 -> 1.0),-0.42857142857142855,-0.7142857142857143,0.0,-0.14285714285714285,-0.2857142857142857,-0.42857142857142855
Volunteering (0.0 -> 1.0),0.2857142857142857,0.14285714285714285,0.42857142857142855,0.047619047619047616,0.14285714285714285,0.2857142857142857
Volunteering (1.0 -> 0.0),-0.6666666666666666,-0.9166666666666666,-0.4166666666666667,-0.16666666666666666,-0.25,-0.6666666666666666
Work_Experience_group (0.0 -> 1.0),0.75,0.5,1.0,0.0,0.375,0.625
Work_Experience_group (0.0 -> 2.0),0.5,0.125,0.875,0.25,0.375,0.375
Work_Experience_group (1.0 -> 0.0),-0.46153846153846156,-0.6923076923076923,-0.23076923076923078,-0.07692307692307693,-0.23076923076923078,-0.46153846153846156
Work_Experience_group (1.0 -> 2.0),0.30434782608695654,0.13043478260869565,0.5217391304347826,0.17391304347826086,0.21739130434782608,0.30434782608695654
Work_Experience_group (2.0 -> 0.0),-0.75,-1.0,-0.25,0.0,0.0,-0.25
Work_Experience_group (2.0 -> 1.0),-0.3333333333333333,-1.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333
